file,color
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2423.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2423.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2423.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2423.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2423.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2423.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2423.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2423.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1894.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1894.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1894.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1894.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1894.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1894.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1894.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1894.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1894.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_468.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_468.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_468.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_468.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_468.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_468.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_468.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3073.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3073.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3073.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3073.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3073.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3073.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3073.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3073.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7215.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7215.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7215.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7215.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7215.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7215.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7215.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_440.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_440.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_440.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_440.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_440.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_440.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_440.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_440.jpg,fuchsia
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_440.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_440.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1664.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1664.jpg,navy
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1664.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1664.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1664.jpg,teal
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1664.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1664.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1664.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1664.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1102.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1102.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1102.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1102.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1102.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1102.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1102.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1102.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_326.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_326.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_326.jpg,navy
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_326.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_326.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_326.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_326.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_326.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7573.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7573.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7573.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7573.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5364.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5364.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5364.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5364.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5364.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5364.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5364.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5364.jpg,green
